,0
1015,NA1_4091400035
1016,NA1_4091376706
1017,NA1_4091333621
1018,NA1_4091287839
1019,NA1_4091274909
1020,NA1_4090765023
1021,NA1_4090622728
1022,NA1_4089459615
1023,NA1_4089472120
1024,NA1_4089256180
1025,NA1_4089159047
1026,NA1_4088367837
1027,NA1_4088093471
1028,NA1_4088090745
1029,NA1_4088047400
1030,NA1_4087852717
1031,NA1_4087776752
1032,NA1_4087791757
1033,NA1_4087727505
1034,NA1_4087613881
1035,NA1_4087557933
1036,NA1_4087592833
1037,NA1_4087498550
1038,NA1_4087474937
1039,NA1_4087510791
1040,NA1_4086857592
1041,NA1_4086933402
1042,NA1_4086921365
1043,NA1_4086778766
1044,NA1_4085632072
1045,NA1_4085570803
1046,NA1_4085536510
1047,NA1_4084947621
1048,NA1_4084899487
1049,NA1_4084933190
1050,NA1_4084407524
1051,NA1_4084424784
1052,NA1_4084253310
1053,NA1_4083598239
1054,NA1_4083582633
1055,NA1_4082555811
1056,NA1_4082493916
1057,NA1_4082549783
1058,NA1_4081564395
1059,NA1_4081550901
1060,NA1_4080524105
1061,NA1_4080501029
1062,NA1_4080438534
1063,NA1_4080272078
1064,NA1_4080218137
1065,NA1_4080234095
1066,NA1_4080220497
1067,NA1_4080112969
1068,NA1_4080085863
1069,NA1_4080054185
1070,NA1_4079997817
1071,NA1_4079924506
1072,NA1_4079875787
1073,NA1_4079578718
1074,NA1_4079558096
1075,NA1_4079554974
1076,NA1_4079485111
1077,NA1_4078651048
1078,NA1_4078605996
1079,NA1_4078575288
1080,NA1_4078180388
1081,NA1_4078125415
1082,NA1_4078130297
1083,NA1_4078008466
1084,NA1_4077626115
1085,NA1_4077624365
1086,NA1_4077631882
1087,NA1_4077117270
1088,NA1_4077048774
1089,NA1_4075958168
1090,NA1_4075329495
1091,NA1_4075275645
1092,NA1_4075260568
1093,NA1_4075240605
1094,NA1_4075053388
1095,NA1_4074216161
1096,NA1_4073886044
1097,NA1_4073901836
1098,NA1_4073870975
1099,NA1_4073738814
1100,NA1_4104888736
1101,NA1_4104565643
1102,NA1_4104621607
1103,NA1_4104273537
1104,NA1_4104250043
1105,NA1_4104187926
1106,NA1_4104145925
1107,NA1_4104143453
1108,NA1_4104007462
1109,NA1_4104004126
1110,NA1_4103987379
1111,NA1_4103960633
1112,NA1_4103926188
1113,NA1_4101557860
1114,NA1_4101507918
1115,NA1_4101532545
1116,NA1_4101467782
1117,NA1_4100731284
1118,NA1_4100698230
1119,NA1_4099645761
1120,NA1_4099594228
1121,NA1_4099610970
1122,NA1_4099459370
1123,NA1_4099098347
1124,NA1_4099032856
1125,NA1_4098984524
1126,NA1_4098811893
1127,NA1_4098738053
1128,NA1_4098714184
1129,NA1_4098739967
1130,NA1_4098657096
1131,NA1_4098662037
1132,NA1_4098608110
1133,NA1_4098248070
1134,NA1_4098225341
1135,NA1_4098231172
1136,NA1_4098137808
1137,NA1_4098141940
1138,NA1_4097611665
1139,NA1_4097519532
1140,NA1_4096242918
1141,NA1_4096218551
1142,NA1_4096195619
1143,NA1_4093287313
1144,NA1_4093306925
1145,NA1_4093306677
1146,NA1_4091462947
1147,NA1_4091379324
1148,NA1_4089192929
1149,NA1_4089128946
1150,NA1_4089104602
1151,NA1_4089131003
1152,NA1_4088681800
1153,NA1_4088364883
1154,NA1_4086762632
1155,NA1_4086941748
1156,NA1_4087181178
1157,NA1_4085532080
1158,NA1_4085488278
1159,NA1_4085492359
1160,NA1_4085440122
1161,NA1_4084305764
1162,NA1_4084037041
1163,NA1_4082817726
1164,NA1_4081274831
1165,NA1_4081244140
1166,NA1_4081232239
1167,NA1_4081217871
1168,NA1_4080874554
1169,NA1_4080799044
1170,NA1_4080782370
1171,NA1_4080135023
1172,NA1_4080068543
1173,NA1_4078560040
1174,NA1_4074527214
1175,NA1_4074550663
1176,NA1_4074416409
1177,NA1_4073381447
1178,NA1_4073362206
1179,NA1_4073256200
1180,NA1_4073227741
1181,NA1_4073212040
1182,NA1_4073125498
1183,NA1_4071227414
1184,NA1_4071226978
1185,NA1_4073010067
1186,NA1_4072946109
1187,NA1_4072942245
1188,NA1_4071234109
1189,NA1_4071214086
1190,NA1_4072124679
1191,NA1_4071840278
1192,NA1_4071797033
1193,NA1_4071823862
1194,NA1_4071771317
1195,NA1_4071754872
1196,NA1_4071026006
1197,NA1_4071032744
1198,NA1_4071019837
1199,NA1_4070830158
1200,NA1_4101682598
1201,NA1_4101630677
1202,NA1_4101615441
1203,NA1_4098944074
1204,NA1_4095370806
1205,NA1_4095282823
1206,NA1_4095236439
1207,NA1_4095138893
1208,NA1_4092853584
1209,NA1_4092784277
1210,NA1_4089315303
1211,NA1_4089277919
1212,NA1_4089224176
1213,NA1_4089240175
1214,NA1_4089196163
1215,NA1_4089202012
1216,NA1_4089151536
1217,NA1_4088532401
1218,NA1_4088409564
1219,NA1_4082123591
1220,NA1_4082017932
1221,NA1_4082001578
1222,NA1_4079966083
1223,NA1_4079914365
1224,NA1_4079920281
1225,NA1_4079847822
1226,NA1_4079861676
1227,NA1_4079807350
1228,NA1_4078193699
1229,NA1_4074521595
1230,NA1_4074485512
1231,NA1_4074440636
1232,NA1_4074382338
1233,NA1_4074315066
1234,NA1_4074243248
1235,NA1_4074220897
1236,NA1_4074176545
1237,NA1_4074120918
1238,NA1_4073844820
1239,NA1_4073842470
1240,NA1_4073759155
1241,NA1_4072926914
1242,NA1_4072934321
1243,NA1_4072921974
1244,NA1_4072834723
1245,NA1_4072579804
1246,NA1_4072485944
1247,NA1_4072462032
